epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1123.14,1.57245,0.76851,0.90771,0.88231,0.79301,0.85612,0.39614,1.7192,0.8211,0.99601,0.000289884,0.000289884,0.000289884
62,1141.02,1.58172,0.7693,0.90832,0.87574,0.79021,0.85115,0.3936,1.7336,0.82478,1.00012,0.000282815,0.000282815,0.000282815
63,1158.87,1.58801,0.77572,0.90252,0.88104,0.80559,0.8609,0.39287,1.69686,0.80494,0.99109,0.000275747,0.000275747,0.000275747
64,1176.78,1.55481,0.75562,0.91323,0.89402,0.7986,0.85959,0.40731,1.71796,0.78499,0.99394,0.000268678,0.000268678,0.000268678
65,1194.81,1.57864,0.75475,0.89617,0.88635,0.7986,0.85578,0.40104,1.7105,0.82487,0.99489,0.00026161,0.00026161,0.00026161
66,1212.7,1.5698,0.75894,0.90064,0.87413,0.78462,0.84711,0.39335,1.72738,0.83115,1.0036,0.000254541,0.000254541,0.000254541
67,1230.61,1.56195,0.74359,0.89596,0.90006,0.78462,0.86203,0.39074,1.72064,0.81874,1.00378,0.000247472,0.000247472,0.000247472
68,1248.53,1.55472,0.74599,0.90273,0.89149,0.78601,0.84907,0.38997,1.70026,0.8141,1.00066,0.000240404,0.000240404,0.000240404
69,1266.6,1.54851,0.75263,0.90833,0.87086,0.78601,0.84733,0.38952,1.70931,0.81053,0.99257,0.000233335,0.000233335,0.000233335
70,1284.54,1.57442,0.75119,0.90644,0.91254,0.75883,0.84544,0.38805,1.72696,0.82669,1.00298,0.000226267,0.000226267,0.000226267
71,1302.49,1.52659,0.73635,0.89292,0.883,0.77483,0.84798,0.39015,1.7115,0.79648,1.0016,0.000219198,0.000219198,0.000219198
72,1320.43,1.52984,0.72141,0.9064,0.89476,0.8014,0.86456,0.40058,1.70362,0.79288,0.99245,0.000212129,0.000212129,0.000212129
73,1338.48,1.52059,0.74541,0.89133,0.89415,0.78322,0.86873,0.40124,1.71235,0.79334,1.00098,0.000205061,0.000205061,0.000205061
74,1356.51,1.52065,0.73668,0.89833,0.88927,0.8028,0.85735,0.39407,1.73092,0.81384,1.00989,0.000197992,0.000197992,0.000197992
